Year,Health Care (NHS etc),Pensions,Welfare (Benefits etc),Education,Military,Interest on Debts,Other Spending,Emergency Services,Transport (Railway/Roads etc),General Government
1900,5720000,0,10740000,25630000,71300000,41890000,24350000,10230000,22530000,4800000
1901,6250000,0,11400000,26930000,123100000,40140000,27640000,10450000,26730000,4800000
1902,7150000,0,12170000,28410000,131700000,43840000,29580000,10870000,32050000,5100000
1903,8560000,0,12980000,31790000,113900000,51340000,31400000,11200000,36300000,5300000
1904,8150000,0,14000000,35570000,74400000,51410000,30950000,11420000,36310000,5600000
1905,8190000,0,14180000,43310000,68100000,53750000,32570000,11530000,34410000,5600000
1906,7970000,800000,14270000,45770000,64200000,55950000,30870000,11640000,36060000,5600000
1907,7980000,800000,13940000,48010000,61100000,54650000,31210000,11750000,36060000,5900000
1908,7680000,800000,14030000,49450000,60300000,54770000,34380000,12060000,36890000,5900000
1909,7750000,800000,16070000,51190000,60800000,56060000,33790000,12370000,36310000,6200000
1910,9060000,900000,21290000,52570000,64900000,56980000,34590000,12580000,61530000,6400000
1911,9340000,800000,22440000,54630000,69800000,56910000,36430000,12980000,42310000,7100000
1912,9910000,800000,23460000,55960000,72600000,58620000,37460000,13510000,42860000,7200000
1913,11210000,800000,28250000,57740000,74700000,60700000,41580000,13920000,45020000,7700000
1914,12600000,800000,30400000,59020000,78600000,59620000,45610000,14160000,48190000,7800000
1915,14270000,800000,31640000,60540000,439300000,62920000,48040000,15190000,50260000,8300000
1916,15030000,800000,29680000,56290000,1401200000,102220000,50100000,14970000,45510000,8000000
1917,15210000,800000,31270000,57660000,1974900000,170210000,52860000,14690000,41880000,7700000
1918,15950000,800000,31020000,68250000,2404100000,232700000,55350000,15750000,44280000,7800000
1919,17900000,800000,33410000,74320000,2199200000,312710000,60870000,19630000,50570000,8900000
1920,24920000,100500000,48460000,109900000,693700000,374780000,91600000,35320000,75090000,19400000
1921,40400000,110300000,87000000,146760000,297200000,389450000,116120000,44800000,111170000,23700000
1922,41310000,95800000,97970000,157030000,222000000,381740000,131550000,48530000,118940000,25400000
1923,36100000,82600000,89800000,136460000,123300000,390020000,104380000,37890000,116470000,17400000
