Year,Total Spending,Total Direct Revenue
1900,26390000000,12930000000
1901,32930000000,14140000000
1902,35620000000,15550000000
1903,35380000000,16480000000
1904,31880000000,15610000000
1905,35660000000,15730000000
1906,31280000000,15600000000
1907,30410000000,15450000000
1908,29840000000,15710000000
1909,30480000000,15280000000
1910,33970000000,13110000000
1911,32960000000,20160000000
1912,33150000000,17840000000
1913,34950000000,18210000000
1914,37210000000,19270000000
1915,64780000000,19400000000
1916,130300000000,25130000000
1917,142780000000,34370000000
1918,148860000000,36390000000
1919,123870000000,39240000000
1920,75360000000,50850000000
1921,69720000000,59500000000
1922,78450000000,54390000000
1923,66930000000,47680000000
1924,63230000000,44570000000
1925,65360000000,42660000000
1926,69680000000,43520000000
1927,74190000000,43970000000
1928,73870000000,46400000000
1929,73520000000,46430000000
1930,75930000000,45630000000
1931,78970000000,48960000000
1932,81570000000,49710000000
1933,81210000000,48940000000
1934,78740000000,48300000000
1935,79830000000,47650000000
1936,83880000000,49610000000
1937,86730000000,50950000000
1938,88200000000,52670000000
1939,92940000000,54220000000
1940,104130000000,55250000000
1941,206030000000,65830000000
1942,231910000000,88940000000
1943,253940000000,114230000000
1944,246840000000,116670000000
1945,253170000000,121860000000
1946,227500000000,119780000000
1947,170000000000,121310000000
1948,141940000000,122620000000
1949,134270000000,146910000000
1950,138180000000,155570000000
1951,150130000000,148870000000
1952,156030000000,150190000000
1953,161620000000,155750000000
1954,159560000000,156990000000
1955,157960000000,156010000000
1956,159590000000,155860000000
1957,159260000000,160220000000
1958,162680000000,162260000000
1959,170970000000,169150000000
1960,180460000000,168560000000
1961,196490000000,172830000000
1962,202510000000,185440000000
1963,211580000000,191790000000
1964,223440000000,197230000000
1965,233810000000,206230000000
1966,240630000000,221070000000
1967,267280000000,232520000000
1968,280110000000,246850000000
1969,272800000000,265160000000
1970,271640000000,268690000000
1971,281600000000,269620000000
1972,284850000000,268420000000
1973,303010000000,264000000000
1974,335060000000,256810000000
1975,349220000000,259430000000
1976,342950000000,284190000000
1977,318810000000,294220000000
1978,331780000000,293940000000
1979,343080000000,286090000000
1980,348210000000,290980000000
1981,346250000000,307870000000
1982,353900000000,337620000000
1983,347530000000,348540000000
1984,349950000000,352690000000
1985,356880000000,358230000000
1986,359070000000,367200000000
1987,353510000000,365200000000
1988,352120000000,375630000000
1989,338590000000,381580000000
1990,350060000000,381120000000
1991,356670000000,376680000000
1992,374630000000,380160000000
1993,401160000000,365980000000
1994,414120000000,373330000000
1995,430200000000,393910000000
1996,435230000000,411070000000
1997,437870000000,425320000000
1998,447330000000,460780000000
1999,463650000000,486200000000
2000,465170000000,507970000000
2001,495650000000,540950000000
2002,515490000000,537560000000
2003,544030000000,533140000000
2004,574610000000,562480000000
2005,605540000000,587530000000
2006,626210000000,613310000000
2007,640880000000,632690000000
2008,660400000000,651180000000
2009,750180000000,662450000000
2010,783980000000,644010000000
2011,817090000000,677670000000
2012,812270000000,690580000000
2013,817880000000,698380000000
2014,805840000000,717570000000
2015,812070000000,733740000000
2016,833730000000,750840000000
2017,836770000000,779160000000
2018,846760000000,787850000000
2019,844500000000,801790000000
2020,856200000000,794970000000
2021,994240000000,711560000000
