Year,Income Tax,Sales/Value Added Taxes,National Insurance,Business and Other Revenue,Other,Transportation,Property Taxes,Excise Taxes,Capital Tax
1900,1870000000,4470000000,0,1660000000,1720000000,0,250000000,6960000000,1840000000
1901,2710000000,4790000000,0,1740000000,1800000000,0,250000000,7340000000,1730000000
1902,3540000000,5230000000,0,1810000000,1850000000,0,250000000,7720000000,1880000000
1903,3960000000,4630000000,0,1880000000,2990000000,0,270000000,8200000000,1850000000
1904,3180000000,6000000000,0,1980000000,2390000000,0,280000000,8100000000,1770000000
1905,3210000000,6320000000,0,2040000000,2070000000,0,290000000,8180000000,1720000000
1906,3180000000,6490000000,0,2130000000,2070000000,0,270000000,7950000000,1750000000
1907,3150000000,6530000000,0,2140000000,2080000000,0,260000000,7660000000,1900000000
1908,3250000000,6590000000,0,2240000000,1150000000,0,270000000,7650000000,1920000000
1909,3420000000,6830000000,0,2250000000,2150000000,0,260000000,7130000000,1860000000
1910,1320000000,6960000000,0,2290000000,2360000000,0,70000000,6910000000,2170000000
1911,6120000000,7120000000,0,2410000000,1850000000,0,430000000,8200000000,2520000000
1912,4320000000,7070000000,0,2480000000,1840000000,0,280000000,7850000000,2450000000
1913,4320000000,7290000000,0,2820000000,2020000000,0,260000000,7870000000,2430000000
1914,4590000000,7680000000,0,2990000000,2230000000,0,260000000,8080000000,2660000000
1915,5940000000,7010000000,0,2540000000,2050000000,0,220000000,7580000000,2430000000
1916,9570000000,6280000000,0,2540000000,2160000000,0,200000000,9520000000,2310000000
1917,20670000000,4860000000,0,2050000000,2520000000,0,160000000,8090000000,1870000000
1918,23650000000,4320000000,0,1820000000,3980000000,0,130000000,6090000000,1630000000
1919,25440000000,4150000000,0,1770000000,3780000000,0,110000000,7710000000,1340000000
1920,24640000000,4500000000,0,1680000000,12380000000,0,100000000,11610000000,1550000000
1921,25590000000,7090000000,0,2070000000,20930000000,300000000,110000000,9990000000,1990000000
1922,21610000000,9150000000,0,2730000000,12000000000,540000000,130000000,16630000000,2520000000
1923,20760000000,9110000000,0,2780000000,6470000000,640000000,150000000,15780000000,2970000000
1924,18810000000,8570000000,0,2810000000,5500000000,780000000,130000000,15420000000,3080000000
1925,18930000000,8540000000,0,2960000000,4930000000,860000000,60000000,13730000000,3180000000
