Year,Total Spending (adj),Total Direct Revenue (adj)
1900,27390000000,19740000000
1901,34189999999,21490000000
1902,37000000000,23470000000
1903,36740000000,25010000000
1904,33140000000,24970000000
1905,37070000000,25100000000
1906,32490000000,25090000000
1907,31640000000,25010000000
1908,31070000000,24350000000
1909,31700000000,25170000000
1910,35300000000,23280000000
1911,34280000000,30130000000
1912,34490000000,27680000000
1913,36390000000,28450000000
1914,38730000000,30010000000
1915,67440000000,29220000000
1916,135729999999,34229999999
1917,148730000000,42130000000
1918,155090000000,43580000000
1919,129070000000,46370000000
1920,77590000000,58290000000
1921,71810000000,70250000000
1922,80810000000,67430000000
1923,68950000000,60560000000
1924,65140000000,56880000000
1925,67330000000,54910000000
1926,71780000000,56420000000
1927,76430000000,57830000000
1928,76100000000,61080000000
1929,75740000000,61850000000
1930,78220000000,60610000000
1931,81360000000,64140000000
1932,84050000000,65160000000
1933,83680000000,64340000000
1934,81130000000,64650000000
1935,82250000000,65540000000
1936,86430000000,66370000000
1937,89360000000,68190000000
1938,90870000000,70070000000
1939,96010000000,71750000000
1940,107870000000,72660000000
1941,213980000000,82710000000
1942,241500000000,106340000000
1943,265130000000,132750000000
1944,258380000000,135199999999
1945,265709999999,141130000000
1946,239400000000,139800000000
1947,179340000000,123800000000
1948,150170000000,126310000000
1949,142140000000,152230000000
1950,146320000000,161400000000
1951,159000000000,154450000000
1952,165170000000,155590000000
1953,170990000000,161260000000
1954,168950000000,163060000000
1955,167260000000,161930000000
1956,168930000000,161690000000
1957,168680000000,166250000000
1958,172460000000,168640000000
1959,181320000000,175940000000
1960,191400000000,175240000000
1961,207890000000,179770000000
1962,214120000000,194280000000
1963,223490000000,200440000000
1964,235980000000,204740000000
1965,246850000000,214250000000
1966,253700000000,229760000000
1967,281930000000,242330000000
1968,295240000000,256930000000
1969,286980000000,276740000000
1970,285620000000,281440000000
1971,296100000000,282380000000
1972,299670000000,281390000000
1973,318820000000,276840000000
1974,352250000000,269220000000
1975,367020000000,272839999999
1976,360460000000,298910000000
1977,335090000000,309420000000
1978,348500000000,308830000000
1979,360480000000,300460000000
1980,365990000000,305450000000
1981,363870000000,322880000000
1982,371690000000,353920000000
1983,364970000000,365460000000
1984,367270000000,369500000000
1985,374260000000,375300000000
1986,376500000000,385070000000
1987,370720000000,383350000000
1988,369150000000,393570000000
1989,354790000000,399670000000
1990,366650000000,399060000000
1991,373440000000,394300000000
1992,391910000000,397580000000
1993,419530000000,382620000000
1994,432780000000,390080000000
1995,449700000000,411720000000
1996,454790000000,429470000000
1997,461140000000,447860000000
1998,471310000000,485110000000
1999,487790000000,511170000000
2000,490760000000,535570000000
2001,521370000000,568470000000
2002,542659999999,565700000000
2003,572910000000,561300000000
2004,604710000000,591850000000
2005,636340000000,617330000000
2006,658870000000,645270000000
2007,673270000000,664690000000
2008,692180000000,682600000000
2009,760060000000,671250000000
2010,794560000000,652880000000
2011,829390000000,688160000000
2012,824480000000,701420000000
2013,830440000000,709670000000
2014,814350000000,725670000000
2015,822510000000,743800000000
2016,846050000000,762030000000
2017,851130000000,793340000000
2018,861410000000,803260000000
2019,865520000000,820040000000
2020,872920000000,814470000000
2021,1035230000000,738960000000
2022,1002540000000,848470000000
