Year,Income Tax (adj),Sales/Value Added Taxes (adj),National Insurance (adj),Business and Other Revenue (adj),Other (adj),Other (adj),Transportation (adj),Property Taxes (adj),Excise Taxes (adj),Capital Tax (adj)
1900,1940000000,4890000000,0,1730000000,1790000000,1790000000,0,260000000,7220000000,1910000000
1901,2820000000,5310000000,0,1810000000,1860000000,1860000000,0,260000000,7620000000,1800000000
1902,3680000000,5740000000,0,1880000000,1930000000,1930000000,0,260000000,8020000000,1960000000
1903,4120000000,5120000000,0,1950000000,3110000000,3110000000,0,280000000,8520000000,1920000000
1904,3300000000,6570000000,0,2060000000,2490000000,2490000000,0,290000000,8420000000,1840000000
1905,3340000000,6890000000,0,2120000000,2160000000,2160000000,0,300000000,8510000000,1780000000
1906,3310000000,7060000000,0,2210000000,2150000000,2150000000,0,280000000,8260000000,1820000000
1907,3280000000,7120000000,0,2230000000,2170000000,2170000000,0,270000000,7960000000,1980000000
1908,3390000000,7190000000,0,2330000000,1200000000,1200000000,0,280000000,7960000000,2000000000
1909,3550000000,7430000000,0,2340000000,2230000000,2230000000,0,270000000,7410000000,1930000000
1910,1380000000,7570000000,0,2380000000,2450000000,2450000000,0,70000000,7180000000,2250000000
1911,6370000000,7750000000,0,2510000000,1920000000,1920000000,0,440000000,8529999999,2620000000
1912,4490000000,7690000000,0,2580000000,1920000000,1920000000,0,290000000,8170000000,2550000000
1913,4500000000,7920000000,0,2930000000,2100000000,2100000000,0,270000000,8199999999,2530000000
1914,4780000000,8340000000,0,3120000000,2320000000,2320000000,0,270000000,8410000000,2770000000
1915,6180000000,7610000000,0,2650000000,2130000000,2130000000,0,230000000,7890000000,2530000000
1916,9970000000,6820000000,0,2640000000,2250000000,2250000000,0,210000000,9920000000,2410000000
1917,21540000000,5290000000,0,2140000000,2630000000,2630000000,0,160000000,8420000000,1950000000
1918,24640000000,4720000000,0,1890000000,4139999999,4139999999,0,140000000,6350000000,1700000000
1919,26500000000,4550000000,0,1840000000,3940000000,3940000000,0,110000000,8029999999,1390000000
1920,25370000000,4800000000,0,1730000000,12750000000,12750000000,0,100000000,11950000000,1600000000
1921,26360000000,7450000000,0,2130000000,21560000000,21560000000,310000000,110000000,10290000000,2049999999
1922,22260000000,9580000000,0,2810000000,12360000000,12360000000,550000000,130000000,17140000000,2600000000
1923,21390000000,9510000000,0,2860000000,6660000000,6660000000,660000000,150000000,16260000000,3060000000
1924,19370000000,8950000000,0,2900000000,5670000000,5670000000,810000000,140000000,15880000000,3170000000
1925,19490000000,8910000000,0,3050000000,5080000000,5080000000,890000000,70000000,14150000000,3270000000
1926,18750000000,9350000000,0,3170000000,6210000000,6210000000,1000000000,40000000,14510000000,3380000000
1927,17129999999,10220000000,0,3310000000,7230000000,7230000000,1200000000,40000000,14920000000,3780000000
1928,17650000000,10820000000,0,3580000000,7470000000,7470000000,1390000000,30000000,15760000000,4380000000
1929,16800000000,10890000000,0,3730000000,8130000000,8130000000,1450000000,30000000,16190000000,4610000000
1930,16950000000,10230000000,0,3930000000,7560000000,7560000000,1550000000,40000000,15750000000,4600000000
1931,19050000000,10060000000,0,4070000000,8790000000,8790000000,1630000000,40000000,15650000000,4860000000
1932,21900000000,10110000000,0,4190000000,6920000000,6920000000,1650000000,40000000,16430000000,3910000000
1933,19040000000,10150000000,0,4280000000,5990000000,5990000000,1700000000,40000000,18430000000,4700000000
1934,17310000000,10450000000,0,4460000000,6280000000,6280000000,1890000000,40000000,18990000000,5240000000
1935,17090000000,10790000000,0,4520000000,7070000000,7070000000,1920000000,40000000,19150000000,4970000000
1936,17490000000,11340000000,0,4710000000,5700000000,5700000000,1860000000,40000000,19910000000,5320000000
1937,18200000000,11520000000,0,4860000000,6040000000,6040000000,1910000000,30000000,20480000000,5150000000
1938,20330000000,11530000000,0,4950000000,5620000000,5620000000,1980000000,0,20560000000,5090000000
1939,23400000000,12040000000,0,4930000000,4970000000,4970000000,1980000000,0,20120000000,4310000000
1940,24610000000,11500000000,0,4400000000,5420000000,5420000000,1720000000,0,21080000000,3930000000
1941,31830000000,10530000000,0,4650000000,5460000000,5460000000,1740000000,0,24820000000,3690000000
1942,47440000000,9610000000,0,4870000000,8330000000,8330000000,1640000000,0,30590000000,3870000000
1943,59570000000,9280000000,0,4690000000,13650000000,13650000000,1160000000,0,40410000000,3810000000
1944,68239999999,8960000000,0,4300000000,7450000000,7450000000,1060000000,0,41130000000,3860000000
1945,72470000000,8980000000,0,4450000000,8039999999,8039999999,1110000000,0,41680000000,4230000000
1946,70290000000,9390000000,0,4280000000,7500000000,7500000000,1600000000,0,42090000000,4460000000
1947,53080000000,45200000000,6310000000,3560000000,1150000000,1150000000,0,4139999999,0,5060000000
1948,45580000000,48900000000,8220000000,7520000000,1150000000,1150000000,0,3680000000,0,5630000000
1949,50390000000,51480000000,11200000000,20390000000,1150000000,1150000000,0,4690000000,0,6980000000
1950,55260000000,50570000000,13390000000,23830000000,1260000000,1260000000,0,3770000000,0,7290000000
1951,51900000000,49150000000,12540000000,24510000000,1250000000,1250000000,0,3880000000,0,5400000000
1952,54090000000,49380000000,12110000000,24090000000,1220000000,1220000000,0,3940000000,0,4890000000
