Year,Health Care (NHS etc) (adj),Pensions (adj),Welfare (Benefits etc) (adj),Education (adj),Military (adj),Interest on Debts (adj),Other Spending (adj),Emergency Services (adj),Transport (Railway/Roads etc) (adj),General Government (adj)
1900,590000000,0,1110000000,2650000000,7370000000,4330000000,2520000000,1060000000,2330000000,500000000
1901,650000000,0,1190000000,2820000000,12890000000,4200000000,2890000000,1090000000,2800000000,500000000
1902,760000000,0,1290000000,3010000000,13930000000,4640000000,3130000000,1150000000,3390000000,540000000
1903,910000000,0,1380000000,3370000000,12080000000,5450000000,3330000000,1190000000,3850000000,560000000
1904,870000000,0,1500000000,3810000000,7980000000,5510000000,3320000000,1220000000,3890000000,600000000
1905,870000000,0,1510000000,4620000000,7270000000,5740000000,3480000000,1230000000,3670000000,600000000
1906,840000000,80000000,1500000000,4820000000,6760000000,5890000000,3250000000,1230000000,3800000000,590000000
1907,830000000,80000000,1450000000,4980000000,6340000000,5670000000,3240000000,1220000000,3740000000,610000000
1908,800000000,80000000,1470000000,5170000000,6300000000,5720000000,3590000000,1260000000,3860000000,620000000
1909,810000000,80000000,1680000000,5370000000,6380000000,5880000000,3540000000,1300000000,3810000000,650000000
1910,940000000,90000000,2200000000,5440000000,6710000000,5890000000,3580000000,1300000000,6360000000,660000000
1911,960000000,80000000,2310000000,5620000000,7180000000,5850000000,3750000000,1330000000,4350000000,730000000
1912,990000000,80000000,2350000000,5610000000,7280000000,5880000000,3760000000,1350000000,4300000000,720000000
1913,1130000000,80000000,2840000000,5800000000,7500000000,6100000000,4179999999,1400000000,4520000000,770000000
1914,1280000000,80000000,3080000000,5970000000,7960000000,6040000000,4620000000,1430000000,4880000000,790000000
1915,1270000000,70000000,2820000000,5390000000,39140000000,5610000000,4280000000,1350000000,4480000000,740000000
1916,1170000000,60000000,2310000000,4380000000,108930000000,7950000000,3890000000,1160000000,3540000000,620000000
1917,950000000,50000000,1950000000,3600000000,123310000000,10630000000,3300000000,920000000,2620000000,480000000
1918,850000000,40000000,1660000000,3660000000,128870000000,12470000000,2970000000,840000000,2370000000,420000000
1919,820000000,40000000,1540000000,3420000000,101150000000,14380000000,2800000000,900000000,2330000000,410000000
1920,970000000,3930000000,1890000000,4300000000,27110000000,14650000000,3580000000,1380000000,2930000000,760000000
1921,1740000000,4740000000,3740000000,6310000000,12770000000,16739999999,4990000000,1930000000,4780000000,1020000000
1922,2060000000,4770000000,4880000000,7820000000,11060000000,19020000000,6550000000,2420000000,5920000000,1270000000
1923,1940000000,4440000000,4830000000,7330000000,6630000000,20960000000,5610000000,2040000000,6260000000,940000000
1924,1940000000,3920000000,4500000000,7340000000,6790000000,20610000000,5700000000,1880000000,6460000000,920000000
1925,2060000000,3930000000,4810000000,7450000000,6570000000,21060000000,5920000000,1910000000,7040000000,960000000
1926,2160000000,3890000000,5060000000,7690000000,7020000000,21350000000,6340000000,1920000000,7430000000,1010000000
1927,2410000000,3700000000,6150000000,8220000000,6980000000,22670000000,7250000000,2140000000,7550000000,1010000000
1928,2440000000,3530000000,5530000000,8580000000,7100000000,23170000000,7050000000,2180000000,8550000000,660000000
1929,2490000000,3360000000,5640000000,8600000000,6810000000,23620000000,7230000000,2170000000,8630000000,660000000
1930,2670000000,3240000000,6130000000,8860000000,6840000000,23840000000,7580000000,2240000000,9270000000,690000000
1931,3390000000,3210000000,7050000000,9660000000,6870000000,23890000000,7770000000,2530000000,9890000000,670000000
1932,3860000000,3130000000,7730000000,9810000000,6790000000,24390000000,7890000000,2600000000,10190000000,710000000
1933,4500000000,3020000000,9580000000,9330000000,6760000000,24580000000,8020000000,2530000000,8860000000,760000000
1934,4600000000,2990000000,9530000000,9310000000,7150000000,21450000000,8250000000,2590000000,9290000000,740000000
1935,4730000000,2860000000,9630000000,9620000000,7440000000,20420000000,8680000000,2660000000,9020000000,770000000
1936,5110000000,2780000000,10130000000,10190000000,8800000000,20220000000,9290000000,2810000000,9190000000,790000000
1937,5230000000,2630000000,9700000000,10330000000,11430000000,19680000000,9870000000,2860000000,9350000000,780000000
1938,5480000000,2510000000,9210000000,10560000000,11780000000,19750000000,10210000000,3040000000,8820000000,780000000
1939,5790000000,2380000000,9050000000,10730000000,14820000000,19590000000,10240000000,3320000000,9610000000,780000000
1940,5350000000,2120000000,8130000000,9700000000,32540000000,18370000000,9530000000,3420000000,8039999999,720000000
1941,4720000000,1880000000,6910000000,8449999999,147830000000,16960000000,8870000000,2790000000,5860000000,680000000
1942,4600000000,1740000000,6350000000,8039999999,174490000000,17720000000,9370000000,3860000000,5310000000,680000000
1943,4810000000,1640000000,6380000000,8500000000,198460000000,19140000000,9590000000,3080000000,5180000000,740000000
1944,5030000000,1520000000,6340000000,8470000000,192530000000,20280000000,9580000000,2590000000,4980000000,730000000
1945,5370000000,1510000000,6460000000,8880000000,196470000000,21790000000,10220000000,2410000000,5290000000,740000000
1946,5740000000,1540000000,6530000000,11090000000,164780000000,22380000000,10560000000,2420000000,5720000000,760000000
1947,7370000000,3290000000,8510000000,12250000000,59250000000,21360000000,33670000000,2450000000,9790000000,840000000
1948,8189999999,11330000000,12170000000,13770000000,29200000000,20640000000,25480000000,2560000000,10600000000,870000000
1949,9190000000,11390000000,12390000000,15580000000,25460000000,19080000000,16790000000,3180000000,10630000000,900000000
1950,10810000000,11380000000,12310000000,17300000000,24630000000,19200000000,18830000000,3660000000,10190000000,950000000
1951,14090000000,8289999999,11040000000,13720000000,41230000000,16780000000,22520000000,2970000000,8490000000,5910000000
1952,13490000000,8970000000,11980000000,14260000000,47240000000,17300000000,19020000000,3070000000,8330000000,5550000000
1953,13670000000,9700000000,13050000000,14690000000,48800000000,17810000000,17210000000,3220000000,9180000000,5560000000
1954,13970000000,9820000000,12990000000,15590000000,46760000000,17770000000,16410000000,3370000000,9210000000,5710000000
1955,14370000000,11100000000,14340000000,16160000000,42340000000,18930000000,16160000000,3460000000,11120000000,6460000000
1956,14720000000,11230000000,14580000000,17480000000,41390000000,18370000000,17660000000,3580000000,11810000000,6110000000
1957,15350000000,11290000000,14730000000,18860000000,38010000000,17820000000,18710000000,3710000000,12630000000,5850000000
1958,15740000000,14100000000,18470000000,19280000000,36520000000,19200000000,18600000000,3790000000,12740000000,5820000000
1959,16920000000,15290000000,19860000000,20560000000,36310000000,19370000000,19990000000,4099999999,13790000000,7250000000
1960,18250000000,15620000000,19740000000,22060000000,36780000000,21690000000,20810000000,4460000000,16489999999,6760000000
