Year,Indirect Taxes,Income and Capital Taxes,National Insurance,Business and Other Revenue
1970,6996000000,7514000000,2324000000,3517000000
1971,7542000000,8222000000,2660000000,3709000000
1972,7699000000,8806000000,2985000000,4128000000
1973,8075000000,8995000000,3492000000,4626000000
1974,8344000000,10571000000,4106000000,5512000000
1975,10007000000,14614000000,5410000000,6568000000
1976,12721000000,18088000000,7173000000,8474000000
1977,14091000000,20635000000,8833000000,11036000000
1978,16780000000,21632000000,9751000000,12116000000
1979,20478000000,24002000000,10238000000,13623000000
1980,27232000000,28487000000,12020000000,15479000000
1981,32573000000,33501000000,14400000000,18394000000
1982,37769000000,40173000000,16477000000,22235000000
1983,40455000000,43248000000,18732000000,24311000000
1984,41558000000,45713000000,21336000000,24925000000
1985,45078000000,50932000000,22748000000,23326000000
1986,48135000000,55112000000,24639000000,25390000000
1987,51503000000,55683000000,26687000000,23680000000
1988,54792000000,62435000000,28140000000,24959000000
1989,63261000000,67528000000,31517000000,26979000000
1990,73811000000,75661000000,33519000000,27585000000
1991,82730000000,81030000000,35006000000,26149000000
1992,85823000000,84294000000,36687000000,25062000000
1993,88311000000,79443000000,36972000000,24287000000
1994,94313000000,79927000000,40136000000,25345000000
1995,100158000000,89269000000,42832000000,26135000000
1996,112576000000,97983000000,45007000000,29626000000
1997,115387000000,103871000000,47219000000,29110000000
1998,135927000000,115660000000,51692000000,30246000000
1999,147153000000,125177000000,54746000000,30569000000
2000,157869000000,134918000000,56935000000,30686000000
2001,164252000000,144881000000,62068000000,33921000000
2002,168383000000,146207000000,63162000000,33847000000
2003,176882000000,144608000000,63529000000,33806000000
2004,189128000000,150628000000,75148000000,36106000000
2005,196174000000,166247000000,80923000000,37630000000
2006,204035000000,185113000000,85559000000,42496000000
2007,213965000000,199165000000,90916000000,43173000000
2008,222795000000,213708000000,95437000000,48201000000
2009,243197000000,206123000000,96613000000,52516000000
2010,246039000000,189129000000,96638000000,52164000000
2011,244353000000,203135000000,97747000000,54936000000
2012,259239000000,202991000000,101597000000,56786000000
2013,251631000000,199755000000,104483000000,69937000000
2014,252489000000,205492000000,107306000000,75415000000
2015,294340000000,214574000000,110260000000,77495000000
2016,291095000000,224312000000,114061000000,76334000000
2017,320940000000,240297000000,126241000000,79282000000
2018,325599000000,249016000000,131547000000,77259000000
2019,336500000000,264109000000,137257000000,73346000000
2020,350293000000,274538000000,144896000000,75271000000
