Year,Income Tax,Sales/Value Added Taxes,National Insurance,Business and Other Revenue,Other,Other,Transportation,Property Taxes,Excise Taxes,Capital Tax
1970,7110000000,5970000000,2320000000,3440000000,320000000,320000000,0,700000000,0,400000000
1971,7840000000,6420000000,2660000000,3620000000,340000000,340000000,0,750000000,0,380000000
1972,8340000000,6410000000,2990000000,4040000000,370000000,370000000,0,870000000,0,470000000
1973,8529999999,6650000000,3490000000,4540000000,400000000,400000000,0,980000000,0,470000000
1974,10160000000,6730000000,4110000000,5430000000,430000000,430000000,0,1100000000,0,420000000
1975,14270000000,7980000000,5410000000,6600000000,460000000,460000000,0,1260000000,0,340000000
1976,17760000000,9820000000,7170000000,8510000000,690000000,690000000,0,1700000000,0,330000000
1977,20250000000,11260000000,8830000000,11070000000,730000000,730000000,0,1870000000,0,390000000
1978,21230000000,14130000000,9750000000,12130000000,880000000,880000000,0,2250000000,0,410000000
1979,23620000000,16410000000,10240000000,13590000000,960000000,960000000,0,2470000000,0,380000000
1980,28030000000,22900000000,12020000000,15370000000,1070000000,1070000000,0,2920000000,0,460000000
1981,33020000000,26840000000,14400000000,18180000000,1310000000,1310000000,0,3760000000,0,480000000
1982,39280000000,31040000000,16480000000,22000000000,1550000000,1550000000,0,4520000000,0,890000000
1983,42670000000,32869999999,18730000000,24100000000,1840000000,1840000000,0,5180000000,0,580000000
1984,45040000000,35330000000,21340000000,24680000000,2040000000,2040000000,0,4960000000,0,680000000
1985,50190000000,39370000000,22750000000,23180000000,2160000000,2160000000,0,5310000000,0,750000000
1986,54160000000,40630000000,24640000000,25410000000,2560000000,2560000000,0,5830000000,0,950000000
1987,54630000000,45610000000,26690000000,23840000000,2670000000,2670000000,0,6750000000,0,1050000000
1988,61330000000,49670000000,28140000000,24860000000,2860000000,2860000000,0,7410000000,0,1110000000
1989,66440000000,54490000000,31520000000,26890000000,2970000000,2970000000,0,8670000000,0,1090000000
1990,74420000000,57830000000,33520000000,27520000000,3170000000,3170000000,0,9690000000,0,1240000000
1991,79760000000,73100000000,35010000000,26100000000,3300000000,3300000000,0,11800000000,0,1270000000
1992,82990000000,82730000000,36690000000,24990000000,3400000000,3400000000,0,7460000000,0,1300000000
1993,78230000000,83890000000,36970000000,24220000000,3740000000,3740000000,0,8550000000,0,1210000000
1994,78590000000,87080000000,40140000000,25290000000,4170000000,4170000000,0,8050000000,0,1340000000
1995,87860000000,93250000000,42830000000,26110000000,4400000000,4400000000,0,8670000000,0,1410000000
1996,96470000000,100770000000,45010000000,29580000000,4600000000,4600000000,0,9350000000,0,1520000000
1997,102310000000,104130000000,47220000000,29080000000,5760000000,5760000000,0,9320000000,0,1560000000
1998,111370000000,67930000000,51690000000,30200000000,13510000000,13510000000,21530000000,10210000000,19210000000,4269999999
1999,120760000000,71150000000,54750000000,30590000000,14020000000,14020000000,24330000000,11370000000,20050000000,4400000000
2000,132860000000,76400000000,56940000000,30820000000,14600000000,14600000000,25700000000,12230000000,22860000000,2040000000
2001,142650000000,80500000000,62070000000,33820000000,13750000000,13750000000,26320000000,13490000000,23000000000,2210000000
2002,143700000000,85570000000,63160000000,34170000000,14890000000,14890000000,26050000000,14550000000,21760000000,2490000000
2003,141800000000,89400000000,63530000000,34520000000,15720000000,15720000000,27160000000,16010000000,22280000000,2790000000
2004,147510000000,97000000000,75150000000,36450000000,16620000000,16620000000,27770000000,18130000000,23450000000,3120000000
2005,162630000000,99880000000,80920000000,38000000000,17460000000,17460000000,29560000000,19260000000,23410000000,3620000000
2006,181140000000,102950000000,85560000000,42960000000,17970000000,17970000000,30890000000,20320000000,24730000000,3970000000
2007,194830000000,110350000000,90920000000,43790000000,19110000000,19110000000,33220000000,21410000000,24450000000,4320000000
2008,209230000000,113290000000,95440000000,48930000000,21660000000,21660000000,34860000000,22510000000,25760000000,4570000000
2009,202430000000,110130000000,96610000000,53440000000,22500000000,22500000000,29410000000,23480000000,25280000000,3710000000
2010,186110000000,107780000000,96640000000,52860000000,23940000000,23940000000,31090000000,24000000000,27400000000,3030000000
2011,199770000000,122930000000,97750000000,55820000000,29460000000,29460000000,33220000000,24470000000,27480000000,3350000000
2012,199400000000,137039999999,101600000000,57960000000,29920000000,29920000000,32920000000,24550000000,28770000000,3580000000
2013,195980000000,141320000000,104480000000,71200000000,30950000000,30950000000,33479999999,24920000000,27950000000,3770000000
2014,200420000000,148420000000,107310000000,76820000000,33439999999,33439999999,36250000000,26250000000,29080000000,5070000000
2015,210230000000,153650000000,110260000000,79000000000,35530000000,35530000000,38010000000,27040000000,28520000000,4340000000
2016,218890000000,159950000000,114210000000,78030000000,37390000000,37390000000,38900000000,27870000000,29030000000,5480000000
2017,234740000000,166240000000,125980000000,81240000000,39740000000,39740000000,40350000000,29280000000,29490000000,5500000000
2018,243020000000,171260000000,131780000000,79340000000,44430000000,44430000000,41470000000,31060000000,30230000000,6120000000
2019,257930000000,180510000000,137680000000,76090000000,46750000000,46750000000,40880000000,33729999999,31520000000,6200000000
2020,266920000000,182620000000,144980000000,78860000000,49910000000,49910000000,40120000000,35280000000,32320000000,5810000000
2021,259149999999,154560000000,144300000000,79700000000,44190000000,44190000000,30460000000,36550000000,32570000000,6200000000
2022,308380000000,185030000000,158930000000,77600000000,46080000000,46080000000,41340000000,38570000000,34820000000,6710000000
