Year,Inflation,GDP-UK £ billion nominal,Population-UK million,Total Direct Revenue-total £ billion ,
1900,4.09,measuringworth.com/ukgdp,41.155,19.74,a
1901,-1.38,measuringworth.com/ukgdp,41.538,21.49,a
1902,-1.04,measuringworth.com/ukgdp,41.893,23.47,a
1903,-0.25,measuringworth.com/ukgdp,42.247,25.01,a
1904,-1.1,measuringworth.com/ukgdp,42.611,24.97,a
1905,0.48,measuringworth.com/ukgdp,42.981,25.10,a
1906,1.4,measuringworth.com/ukgdp,43.361,25.09,a
1907,1.58,measuringworth.com/ukgdp,43.738,25.01,a
1908,-0.74,measuringworth.com/ukgdp,44.124,24.35,a
1909,-0.35,measuringworth.com/ukgdp,44.520,25.17,a
1910,1.44,measuringworth.com/ukgdp,44.916,23.28,a
1911,0.58,measuringworth.com/ukgdp,42.190,30.13,a
1912,2.61,measuringworth.com/ukgdp,42.374,27.68,a
1913,-0.17,measuringworth.com/ukgdp,42.582,28.45,a
1914,-0.8,measuringworth.com/ukgdp,42.957,30.01,a
1915,14.36,measuringworth.com/ukgdp,41.362,29.22,a
1916,14.76,measuringworth.com/ukgdp,40.536,34.23,a
1917,24.35,measuringworth.com/ukgdp,39.781,42.13,a
1918,16.79,measuringworth.com/ukgdp,39.582,43.58,a
1919,15.24,measuringworth.com/ukgdp,42.944,46.37,a
1920,16.64,measuringworth.com/ukgdp,43.646,58.29,a
1921,-8.17,measuringworth.com/ukgdp,43.904,70.25,a
1922,-14.46,measuringworth.com/ukgdp,44.332,67.43,a
1923,-7.53,measuringworth.com/ukgdp,44.563,60.56,a
1924,-2.09,measuringworth.com/ukgdp,44.886,56.88,a
1925,-0.26,measuringworth.com/ukgdp,45.040,54.91,a
1926,-0.42,measuringworth.com/ukgdp,45.218,56.42,a
1927,-1.94,measuringworth.com/ukgdp,45.432,57.83,a
1928,-0.89,measuringworth.com/ukgdp,45.622,61.08,a
1929,-0.84,measuringworth.com/ukgdp,45.731,61.85,a
1930,-0.84,measuringworth.com/ukgdp,45.889,60.61,a
1931,-1.83,measuringworth.com/ukgdp,46.074,64.14,a
1932,-2.24,measuringworth.com/ukgdp,46.335,65.16,a
1933,-1.39,measuringworth.com/ukgdp,46.520,64.34,a
1934,-0.87,measuringworth.com/ukgdp,46.666,64.65,a
1935,0.79,measuringworth.com/ukgdp,46.869,65.54,a
1936,0.89,measuringworth.com/ukgdp,47.081,66.37,a
1937,3.46,measuringworth.com/ukgdp,47.289,68.19,a
1938,2.36,measuringworth.com/ukgdp,47.494,70.07,a
1939,2.88,measuringworth.com/ukgdp,47.548,71.75,a
1940,11.13,measuringworth.com/ukgdp,46.029,72.66,a
1941,11.47,measuringworth.com/ukgdp,44.870,82.71,a
1942,7.49,measuringworth.com/ukgdp,44.323,106.34,a
1943,4.44,measuringworth.com/ukgdp,48.262,132.75,a
1944,5.01,measuringworth.com/ukgdp,48.460,135.20,a
1945,1.63,measuringworth.com/ukgdp,48.669,141.13,a
1946,2.81,measuringworth.com/ukgdp,48.988,139.80,a
1947,9.08,measuringworth.com/ukgdp,49.539,123.80,a
1948,6.3,measuringworth.com/ukgdp,50.033,126.31,a
1949,3.18,measuringworth.com/ukgdp,50.331,152.23,a
1950,1.34,measuringworth.com/ukgdp,50.382,161.40,a
1951,8.55,measuringworth.com/ukgdp,50.287,154.45,a
1952,7.1,measuringworth.com/ukgdp,50.429,155.59,a
1953,1.83,measuringworth.com/ukgdp,50.593,161.26,a
1954,1.13,measuringworth.com/ukgdp,50.765,163.06,a
1955,4.92,measuringworth.com/ukgdp,50.946,161.93,a
1956,7.04,measuringworth.com/ukgdp,51.184,161.69,a
1957,4.08,measuringworth.com/ukgdp,51.430,166.25,a
1958,3.71,measuringworth.com/ukgdp,51.653,168.64,a
1959,0.76,measuringworth.com/ukgdp,51.956,175.94,a
1960,1.11,measuringworth.com/ukgdp,52.373,175.24,a
1961,3.88,measuringworth.com/ukgdp,52.807,179.77,a
1962,3.65,measuringworth.com/ukgdp,53.292,194.28,a
1963,1.55,measuringworth.com/ukgdp,53.625,200.44,a
1964,3.79,measuringworth.com/ukgdp,53.991,204.74,a
1965,6.06,measuringworth.com/ukgdp,54.350,214.25,a
1966,5.42,measuringworth.com/ukgdp,54.643,229.76,a
1967,3.05,measuringworth.com/ukgdp,54.959,242.33,a
1968,4.44,measuringworth.com/ukgdp,55.214,256.93,a
1969,6.76,measuringworth.com/ukgdp,55.461,276.74,a
1970,9.9,measuringworth.com/ukgdp,55.632,281.44,a
1971,8.57,measuringworth.com/ukgdp,55.928,282.38,a
1972,7.9,measuringworth.com/ukgdp,56.097,281.39,a
1973,9.37,measuringworth.com/ukgdp,56.223,276.84,a
1974,15.8,measuringworth.com/ukgdp,56.236,269.22,a
1975,25.7,measuringworth.com/ukgdp,56.226,272.84,a
1976,16,measuringworth.com/ukgdp,56.216,298.91,a
1977,14.17,measuringworth.com/ukgdp,56.190,309.42,a
1978,12.32,measuringworth.com/ukgdp,56.178,308.83,a
1979,14.97,measuringworth.com/ukgdp,56.240,300.46,a
1980,19.7,measuringworth.com/ukgdp,56.330,305.45,a
1981,12.31,measuringworth.com/ukgdp,56.358,322.88,a
1982,8.16,measuringworth.com/ukgdp,56.291,353.92,a
1983,5.78,measuringworth.com/ukgdp,56.316,365.46,a
1984,5.33,measuringworth.com/ukgdp,56.409,369.50,a
1985,5.62,measuringworth.com/ukgdp,56.554,375.30,a
1986,4.62,measuringworth.com/ukgdp,56.684,385.07,a
1987,5.69,measuringworth.com/ukgdp,56.804,383.35,a
1988,6.25,measuringworth.com/ukgdp,56.916,393.57,a
1989,8.03,measuringworth.com/ukgdp,57.077,399.67,a
1990,8.12,measuringworth.com/ukgdp,57.238,399.06,a
1991,6.56,measuringworth.com/ukgdp,57.439,394.30,a
1992,3.16,measuringworth.com/ukgdp,57.585,397.58,a
1993,2.79,measuringworth.com/ukgdp,57.714,382.62,a
1994,1.4,measuringworth.com/ukgdp,57.862,390.08,a
1995,2.5,measuringworth.com/ukgdp,58.025,411.72,a
1996,4.22,measuringworth.com/ukgdp,58.164,429.47,a
1997,-0.07,measuringworth.com/ukgdp,58.314,447.86,a
1998,1.07,measuringworth.com/ukgdp,58.475,485.11,a
1999,0.97,measuringworth.com/ukgdp,58.684,511.17,a
