Year,Inflation,GDP-UK £ billion nominal,Population-UK million,Income-total £ billion ,,Sales/Value Added Taxes-total £ billion ,,National Insurance-total £ billion ,,Business and Other Revenue-total £ billion ,,Other-total £ billion ,
1900,4.09,measuringworth.com/ukgdp,41.155,1.94,a,4.89,a,0.00,,1.73,a,1.79,a
1901,-1.38,measuringworth.com/ukgdp,41.538,2.82,a,5.31,a,0.00,,1.81,a,1.86,a
1902,-1.04,measuringworth.com/ukgdp,41.893,3.68,a,5.74,a,0.00,,1.88,a,1.93,a
1903,-0.25,measuringworth.com/ukgdp,42.247,4.12,a,5.12,a,0.00,,1.95,a,3.11,a
1904,-1.1,measuringworth.com/ukgdp,42.611,3.30,a,6.57,a,0.00,,2.06,a,2.49,a
1905,0.48,measuringworth.com/ukgdp,42.981,3.34,a,6.89,a,0.00,,2.12,a,2.16,a
1906,1.4,measuringworth.com/ukgdp,43.361,3.31,a,7.06,a,0.00,,2.21,a,2.15,a
1907,1.58,measuringworth.com/ukgdp,43.738,3.28,a,7.12,a,0.00,,2.23,a,2.17,a
1908,-0.74,measuringworth.com/ukgdp,44.124,3.39,a,7.19,a,0.00,,2.33,a,1.20,a
1909,-0.35,measuringworth.com/ukgdp,44.520,3.55,a,7.43,a,0.00,,2.34,a,2.23,a
1910,1.44,measuringworth.com/ukgdp,44.916,1.38,a,7.57,a,0.00,,2.38,a,2.45,a
1911,0.58,measuringworth.com/ukgdp,42.190,6.37,a,7.75,a,0.00,,2.51,a,1.92,a
1912,2.61,measuringworth.com/ukgdp,42.374,4.49,a,7.69,a,0.00,,2.58,a,1.92,a
1913,-0.17,measuringworth.com/ukgdp,42.582,4.50,a,7.92,a,0.00,,2.93,a,2.10,a
1914,-0.8,measuringworth.com/ukgdp,42.957,4.78,a,8.34,a,0.00,,3.12,a,2.32,a
1915,14.36,measuringworth.com/ukgdp,41.362,6.18,a,7.61,a,0.00,,2.65,a,2.13,a
1916,14.76,measuringworth.com/ukgdp,40.536,9.97,a,6.82,a,0.00,,2.64,a,2.25,a
