Year,Inflation,GDP-UK £ billion nominal,Population-UK million,Interest-total £ billion ,,Other Spending-total £ billion ,,Protection-total £ billion ,,Transport-total £ billion ,,General Government-total £ billion ,
1900,4.09,measuringworth.com/ukgdp,41.155,4.33,a,2.52,a,1.06,a,2.33,a,0.50,a
1901,-1.38,measuringworth.com/ukgdp,41.538,4.20,a,2.89,a,1.09,a,2.80,a,0.50,a
1902,-1.04,measuringworth.com/ukgdp,41.893,4.64,a,3.13,a,1.15,a,3.39,a,0.54,a
1903,-0.25,measuringworth.com/ukgdp,42.247,5.45,a,3.33,a,1.19,a,3.85,a,0.56,a
1904,-1.1,measuringworth.com/ukgdp,42.611,5.51,a,3.32,a,1.22,a,3.89,a,0.60,a
1905,0.48,measuringworth.com/ukgdp,42.981,5.74,a,3.48,a,1.23,a,3.67,a,0.60,a
1906,1.4,measuringworth.com/ukgdp,43.361,5.89,a,3.25,a,1.23,a,3.80,a,0.59,a
1907,1.58,measuringworth.com/ukgdp,43.738,5.67,a,3.24,a,1.22,a,3.74,a,0.61,a
1908,-0.74,measuringworth.com/ukgdp,44.124,5.72,a,3.59,a,1.26,a,3.86,a,0.62,a
1909,-0.35,measuringworth.com/ukgdp,44.520,5.88,a,3.54,a,1.30,a,3.81,a,0.65,a
1910,1.44,measuringworth.com/ukgdp,44.916,5.89,a,3.58,a,1.30,a,6.36,a,0.66,a
1911,0.58,measuringworth.com/ukgdp,42.190,5.85,a,3.75,a,1.33,a,4.35,a,0.73,a
1912,2.61,measuringworth.com/ukgdp,42.374,5.88,a,3.76,a,1.35,a,4.30,a,0.72,a
1913,-0.17,measuringworth.com/ukgdp,42.582,6.10,a,4.18,a,1.40,a,4.52,a,0.77,a
1914,-0.8,measuringworth.com/ukgdp,42.957,6.04,a,4.62,a,1.43,a,4.88,a,0.79,a
1915,14.36,measuringworth.com/ukgdp,41.362,5.61,a,4.28,a,1.35,a,4.48,a,0.74,a
1916,14.76,measuringworth.com/ukgdp,40.536,7.95,a,3.89,a,1.16,a,3.54,a,0.62,a
1917,24.35,measuringworth.com/ukgdp,39.781,10.63,a,3.30,a,0.92,a,2.62,a,0.48,a
1918,16.79,measuringworth.com/ukgdp,39.582,12.47,a,2.97,a,0.84,a,2.37,a,0.42,a
1919,15.24,measuringworth.com/ukgdp,42.944,14.38,a,2.80,a,0.90,a,2.33,a,0.41,a
1920,16.64,measuringworth.com/ukgdp,43.646,14.65,a,3.58,a,1.38,a,2.93,a,0.76,a
1921,-8.17,measuringworth.com/ukgdp,43.904,16.74,a,4.99,a,1.93,a,4.78,a,1.02,a
1922,-14.46,measuringworth.com/ukgdp,44.332,19.02,a,6.55,a,2.42,a,5.92,a,1.27,a
1923,-7.53,measuringworth.com/ukgdp,44.563,20.96,a,5.61,a,2.04,a,6.26,a,0.94,a
1924,-2.09,measuringworth.com/ukgdp,44.886,20.61,a,5.70,a,1.88,a,6.46,a,0.92,a
1925,-0.26,measuringworth.com/ukgdp,45.040,21.06,a,5.92,a,1.91,a,7.04,a,0.96,a
1926,-0.42,measuringworth.com/ukgdp,45.218,21.35,a,6.34,a,1.92,a,7.43,a,1.01,a
1927,-1.94,measuringworth.com/ukgdp,45.432,22.67,a,7.25,a,2.14,a,7.55,a,1.01,a
1928,-0.89,measuringworth.com/ukgdp,45.622,23.17,a,7.05,a,2.18,a,8.55,a,0.66,a
1929,-0.84,measuringworth.com/ukgdp,45.731,23.62,a,7.23,a,2.17,a,8.63,a,0.66,a
1930,-0.84,measuringworth.com/ukgdp,45.889,23.84,a,7.58,a,2.24,a,9.27,a,0.69,a
1931,-1.83,measuringworth.com/ukgdp,46.074,23.89,a,7.77,a,2.53,a,9.89,a,0.67,a
1932,-2.24,measuringworth.com/ukgdp,46.335,24.39,a,7.89,a,2.60,a,10.19,a,0.71,a
1933,-1.39,measuringworth.com/ukgdp,46.520,24.58,a,8.02,a,2.53,a,8.86,a,0.76,a
1934,-0.87,measuringworth.com/ukgdp,46.666,21.45,a,8.25,a,2.59,a,9.29,a,0.74,a
1935,0.79,measuringworth.com/ukgdp,46.869,20.42,a,8.68,a,2.66,a,9.02,a,0.77,a
1936,0.89,measuringworth.com/ukgdp,47.081,20.22,a,9.29,a,2.81,a,9.19,a,0.79,a
1937,3.46,measuringworth.com/ukgdp,47.289,19.68,a,9.87,a,2.86,a,9.35,a,0.78,a
1938,2.36,measuringworth.com/ukgdp,47.494,19.75,a,10.21,a,3.04,a,8.82,a,0.78,a
1939,2.88,measuringworth.com/ukgdp,47.548,19.59,a,10.24,a,3.32,a,9.61,a,0.78,a
1940,11.13,measuringworth.com/ukgdp,46.029,18.37,a,9.53,a,3.42,a,8.04,a,0.72,a
1941,11.47,measuringworth.com/ukgdp,44.870,16.96,a,8.87,a,2.79,a,5.86,a,0.68,a
1942,7.49,measuringworth.com/ukgdp,44.323,17.72,a,9.37,a,3.86,a,5.31,a,0.68,a
1943,4.44,measuringworth.com/ukgdp,48.262,19.14,a,9.59,a,3.08,a,5.18,a,0.74,a
