Year,Inflation,GDP-UK £ billion nominal,Population-UK million,Health Care-total £ billion ,,Pensions-total £ billion ,,Welfare-total £ billion ,,Education-total £ billion ,,Defence-total £ billion ,
1900,4.09,measuringworth.com/ukgdp,41.155,0.59,a,0.00,,1.11,a,2.65,a,7.37,a
1901,-1.38,measuringworth.com/ukgdp,41.538,0.65,a,0.00,,1.19,a,2.82,a,12.89,a
1902,-1.04,measuringworth.com/ukgdp,41.893,0.76,a,0.00,,1.29,a,3.01,a,13.93,a
1903,-0.25,measuringworth.com/ukgdp,42.247,0.91,a,0.00,,1.38,a,3.37,a,12.08,a
1904,-1.1,measuringworth.com/ukgdp,42.611,0.87,a,0.00,,1.50,a,3.81,a,7.98,a
1905,0.48,measuringworth.com/ukgdp,42.981,0.87,a,0.00,,1.51,a,4.62,a,7.27,a
1906,1.4,measuringworth.com/ukgdp,43.361,0.84,a,0.08,a,1.50,a,4.82,a,6.76,a
1907,1.58,measuringworth.com/ukgdp,43.738,0.83,a,0.08,a,1.45,a,4.98,a,6.34,a
1908,-0.74,measuringworth.com/ukgdp,44.124,0.80,a,0.08,a,1.47,a,5.17,a,6.30,a
1909,-0.35,measuringworth.com/ukgdp,44.520,0.81,a,0.08,a,1.68,a,5.37,a,6.38,a
1910,1.44,measuringworth.com/ukgdp,44.916,0.94,a,0.09,a,2.20,a,5.44,a,6.71,a
1911,0.58,measuringworth.com/ukgdp,42.190,0.96,a,0.08,a,2.31,a,5.62,a,7.18,a
1912,2.61,measuringworth.com/ukgdp,42.374,0.99,a,0.08,a,2.35,a,5.61,a,7.28,a
1913,-0.17,measuringworth.com/ukgdp,42.582,1.13,a,0.08,a,2.84,a,5.80,a,7.50,a
1914,-0.8,measuringworth.com/ukgdp,42.957,1.28,a,0.08,a,3.08,a,5.97,a,7.96,a
1915,14.36,measuringworth.com/ukgdp,41.362,1.27,a,0.07,a,2.82,a,5.39,a,39.14,a
1916,14.76,measuringworth.com/ukgdp,40.536,1.17,a,0.06,a,2.31,a,4.38,a,108.93,a
1917,24.35,measuringworth.com/ukgdp,39.781,0.95,a,0.05,a,1.95,a,3.60,a,123.31,a
1918,16.79,measuringworth.com/ukgdp,39.582,0.85,a,0.04,a,1.66,a,3.66,a,128.87,a
1919,15.24,measuringworth.com/ukgdp,42.944,0.82,a,0.04,a,1.54,a,3.42,a,101.15,a
1920,16.64,measuringworth.com/ukgdp,43.646,0.97,a,3.93,a,1.89,a,4.30,a,27.11,a
1921,-8.17,measuringworth.com/ukgdp,43.904,1.74,a,4.74,a,3.74,a,6.31,a,12.77,a
1922,-14.46,measuringworth.com/ukgdp,44.332,2.06,a,4.77,a,4.88,a,7.82,a,11.06,a
1923,-7.53,measuringworth.com/ukgdp,44.563,1.94,a,4.44,a,4.83,a,7.33,a,6.63,a
1924,-2.09,measuringworth.com/ukgdp,44.886,1.94,a,3.92,a,4.50,a,7.34,a,6.79,a
1925,-0.26,measuringworth.com/ukgdp,45.040,2.06,a,3.93,a,4.81,a,7.45,a,6.57,a
1926,-0.42,measuringworth.com/ukgdp,45.218,2.16,a,3.89,a,5.06,a,7.69,a,7.02,a
1927,-1.94,measuringworth.com/ukgdp,45.432,2.41,a,3.70,a,6.15,a,8.22,a,6.98,a
1928,-0.89,measuringworth.com/ukgdp,45.622,2.44,a,3.53,a,5.53,a,8.58,a,7.10,a
1929,-0.84,measuringworth.com/ukgdp,45.731,2.49,a,3.36,a,5.64,a,8.60,a,6.81,a
1930,-0.84,measuringworth.com/ukgdp,45.889,2.67,a,3.24,a,6.13,a,8.86,a,6.84,a
1931,-1.83,measuringworth.com/ukgdp,46.074,3.39,a,3.21,a,7.05,a,9.66,a,6.87,a
1932,-2.24,measuringworth.com/ukgdp,46.335,3.86,a,3.13,a,7.73,a,9.81,a,6.79,a
1933,-1.39,measuringworth.com/ukgdp,46.520,4.50,a,3.02,a,9.58,a,9.33,a,6.76,a
1934,-0.87,measuringworth.com/ukgdp,46.666,4.60,a,2.99,a,9.53,a,9.31,a,7.15,a
1935,0.79,measuringworth.com/ukgdp,46.869,4.73,a,2.86,a,9.63,a,9.62,a,7.44,a
1936,0.89,measuringworth.com/ukgdp,47.081,5.11,a,2.78,a,10.13,a,10.19,a,8.80,a
1937,3.46,measuringworth.com/ukgdp,47.289,5.23,a,2.63,a,9.70,a,10.33,a,11.43,a
1938,2.36,measuringworth.com/ukgdp,47.494,5.48,a,2.51,a,9.21,a,10.56,a,11.78,a
1939,2.88,measuringworth.com/ukgdp,47.548,5.79,a,2.38,a,9.05,a,10.73,a,14.82,a
1940,11.13,measuringworth.com/ukgdp,46.029,5.35,a,2.12,a,8.13,a,9.70,a,32.54,a
1941,11.47,measuringworth.com/ukgdp,44.870,4.72,a,1.88,a,6.91,a,8.45,a,147.83,a
1942,7.49,measuringworth.com/ukgdp,44.323,4.60,a,1.74,a,6.35,a,8.04,a,174.49,a
1943,4.44,measuringworth.com/ukgdp,48.262,4.81,a,1.64,a,6.38,a,8.50,a,198.46,a
1944,5.01,measuringworth.com/ukgdp,48.460,5.03,a,1.52,a,6.34,a,8.47,a,192.53,a
1945,1.63,measuringworth.com/ukgdp,48.669,5.37,a,1.51,a,6.46,a,8.88,a,196.47,a
1946,2.81,measuringworth.com/ukgdp,48.988,5.74,a,1.54,a,6.53,a,11.09,a,164.78,a
1947,9.08,measuringworth.com/ukgdp,49.539,7.37,a,3.29,a,8.51,a,12.25,a,59.25,a
1948,6.3,measuringworth.com/ukgdp,50.033,8.19,a,11.33,a,12.17,a,13.77,a,29.20,a
1949,3.18,measuringworth.com/ukgdp,50.331,9.19,a,11.39,a,12.39,a,15.58,a,25.46,a
1950,1.34,measuringworth.com/ukgdp,50.382,10.81,a,11.38,a,12.31,a,17.30,a,24.63,a
1951,8.55,measuringworth.com/ukgdp,50.287,14.09,a,8.29,a,11.04,a,13.72,a,41.23,a
1952,7.1,measuringworth.com/ukgdp,50.429,13.49,a,8.97,a,11.98,a,14.26,a,47.24,a
1953,1.83,measuringworth.com/ukgdp,50.593,13.67,a,9.70,a,13.05,a,14.69,a,48.80,a
1954,1.13,measuringworth.com/ukgdp,50.765,13.97,a,9.82,a,12.99,a,15.59,a,46.76,a
1955,4.92,measuringworth.com/ukgdp,50.946,14.37,a,11.10,a,14.34,a,16.16,a,42.34,a
1956,7.04,measuringworth.com/ukgdp,51.184,14.72,a,11.23,a,14.58,a,17.48,a,41.39,a
1957,4.08,measuringworth.com/ukgdp,51.430,15.35,a,11.29,a,14.73,a,18.86,a,38.01,a
1958,3.71,measuringworth.com/ukgdp,51.653,15.74,a,14.10,a,18.47,a,19.28,a,36.52,a
1959,0.76,measuringworth.com/ukgdp,51.956,16.92,a,15.29,a,19.86,a,20.56,a,36.31,a
1960,1.11,measuringworth.com/ukgdp,52.373,18.25,a,15.62,a,19.74,a,22.06,a,36.78,a
1961,3.88,measuringworth.com/ukgdp,52.807,19.87,a,17.10,a,21.54,a,22.27,a,37.50,a
1962,3.65,measuringworth.com/ukgdp,53.292,19.45,a,17.58,a,22.45,a,24.74,a,40.26,a
1963,1.55,measuringworth.com/ukgdp,53.625,20.45,a,19.72,a,26.97,a,26.59,a,40.86,a
1964,3.79,measuringworth.com/ukgdp,53.991,21.56,a,20.93,a,27.67,a,28.35,a,42.05,a
1965,6.06,measuringworth.com/ukgdp,54.350,22.92,a,23.37,a,30.97,a,29.93,a,42.04,a
1966,5.42,measuringworth.com/ukgdp,54.643,23.93,a,23.63,a,31.61,a,31.71,a,41.70,a
1967,3.05,measuringworth.com/ukgdp,54.959,25.80,a,24.22,a,33.94,a,34.37,a,43.98,a
1968,4.44,measuringworth.com/ukgdp,55.214,26.81,a,26.43,a,36.88,a,36.12,a,42.48,a
1969,6.76,measuringworth.com/ukgdp,55.461,26.29,a,25.61,a,35.83,a,36.37,a,37.88,a
1970,9.9,measuringworth.com/ukgdp,55.632,27.47,a,26.16,a,36.57,a,36.85,a,37.03,a
1971,8.57,measuringworth.com/ukgdp,55.928,28.84,a,26.13,a,36.49,a,38.60,a,38.89,a
1972,7.9,measuringworth.com/ukgdp,56.097,30.24,a,29.09,a,40.54,a,40.53,a,39.48,a
1973,9.37,measuringworth.com/ukgdp,56.223,31.53,a,31.44,a,42.38,a,43.45,a,42.86,a
1974,15.8,measuringworth.com/ukgdp,56.236,35.42,a,34.09,a,45.56,a,43.86,a,42.64,a
1975,25.7,measuringworth.com/ukgdp,56.226,37.53,a,34.63,a,46.90,a,49.46,a,41.58,a
1976,16,measuringworth.com/ukgdp,56.216,38.36,a,36.65,a,50.69,a,47.81,a,44.85,a
1977,14.17,measuringworth.com/ukgdp,56.190,37.44,a,37.40,a,52.16,a,44.87,a,44.33,a
1978,12.32,measuringworth.com/ukgdp,56.178,38.22,a,38.21,a,53.56,a,43.69,a,46.19,a
1979,14.97,measuringworth.com/ukgdp,56.240,38.53,a,38.80,a,52.90,a,42.96,a,47.91,a
1980,19.7,measuringworth.com/ukgdp,56.330,41.53,a,38.46,a,53.40,a,43.78,a,47.54,a
1981,12.31,measuringworth.com/ukgdp,56.358,42.07,a,40.19,a,56.15,a,43.50,a,45.69,a
1982,8.16,measuringworth.com/ukgdp,56.291,41.75,a,41.20,a,56.69,a,43.03,a,48.56,a
1983,5.78,measuringworth.com/ukgdp,56.316,39.88,a,42.45,a,62.81,a,41.26,a,44.56,a
1984,5.33,measuringworth.com/ukgdp,56.409,40.26,a,41.93,a,64.11,a,41.30,a,45.48,a
1985,5.62,measuringworth.com/ukgdp,56.554,40.92,a,42.42,a,65.26,a,40.68,a,47.37,a
1986,4.62,measuringworth.com/ukgdp,56.684,41.54,a,44.81,a,68.54,a,40.36,a,47.72,a
1987,5.69,measuringworth.com/ukgdp,56.804,42.12,a,45.15,a,68.65,a,42.12,a,45.95,a
1988,6.25,measuringworth.com/ukgdp,56.916,43.59,a,44.12,a,67.17,a,43.38,a,44.44,a
1989,8.03,measuringworth.com/ukgdp,57.077,44.57,a,43.73,a,66.35,a,43.39,a,42.40,a
1990,8.12,measuringworth.com/ukgdp,57.238,44.71,a,43.76,a,66.90,a,44.90,a,42.52,a
1991,6.56,measuringworth.com/ukgdp,57.439,47.06,a,46.13,a,73.57,a,45.35,a,41.76,a
1992,3.16,measuringworth.com/ukgdp,57.585,51.77,a,46.61,a,78.69,a,48.62,a,43.14,a
1993,2.79,measuringworth.com/ukgdp,57.714,56.56,i,55.79,a,87.22,i,52.87,i,42.52,a
1994,1.4,measuringworth.com/ukgdp,57.862,58.98,i,65.84,a,94.42,i,54.86,i,41.49,a
1995,2.5,measuringworth.com/ukgdp,58.025,62.99,i,64.39,a,93.58,i,56.09,i,39.83,a
1996,4.22,measuringworth.com/ukgdp,58.164,59.27,i,67.85,a,95.12,i,54.52,i,36.87,a
1997,-0.07,measuringworth.com/ukgdp,58.314,61.81,i,73.94,a,96.33,i,55.76,i,37.53,a
1998,1.07,measuringworth.com/ukgdp,58.475,63.86,i,77.09,a,91.89,i,57.88,a,36.08,a
1999,0.97,measuringworth.com/ukgdp,58.684,68.95,a,90.66,a,80.49,a,59.47,a,39.22,a
2000,1.89,measuringworth.com/ukgdp,58.886,71.38,a,94.67,a,85.07,a,61.48,a,40.00,a
2001,1.15,measuringworth.com/ukgdp,59.113,77.39,a,104.48,a,82.22,a,66.15,a,42.54,a
2002,2.15,measuringworth.com/ukgdp,59.366,83.59,a,109.20,a,82.58,a,71.30,a,39.53,a
2003,2.45,measuringworth.com/ukgdp,59.637,90.20,a,108.87,a,89.29,a,74.59,a,40.90,a
2004,2.59,measuringworth.com/ukgdp,59.950,99.55,a,108.68,a,98.27,a,81.10,a,43.06,a
2005,2.78,measuringworth.com/ukgdp,60.413,107.30,a,111.73,a,100.90,a,84.26,a,43.23,a
2006,2.88,measuringworth.com/ukgdp,60.827,112.75,a,113.11,a,102.66,a,87.73,a,44.33,a
2007,2.76,measuringworth.com/ukgdp,61.319,116.04,a,115.12,a,102.29,a,89.50,a,44.87,a
2008,3.07,measuringworth.com/ukgdp,61.824,121.67,a,117.49,a,107.41,a,93.51,a,45.56,a
2009,-0.87,measuringworth.com/ukgdp,62.261,130.41,a,130.16,a,119.35,a,99.53,a,49.15,a
2010,1.54,1848.7,62.760,138.01,a,137.39,a,130.68,a,104.45,a,50.23,a
2011,1.71,1895.9,63.285,139.13,a,141.54,a,130.30,a,106.23,a,52.18,a
2012,1.53,1917.8,63.705,138.68,a,148.28,a,135.00,a,98.91,a,50.49,a
2013,2.05,1946.7,64.106,139.36,a,156.07,a,131.16,a,94.16,a,47.02,a
2014,2.34,1991,64.597,141.81,a,156.53,a,124.80,a,92.81,a,48.23,a
2015,1.18,2049.6,65.110,145.26,a,162.37,a,123.92,a,92.16,a,49.04,a
2016,0.64,2101.8,65.648,149.15,a,166.62,a,122.28,a,91.44,a,48.25,a
2017,2.29,2149.5,66.040,150.19,a,164.40,a,118.60,a,89.43,a,48.34,a
2018,1.75,2189.7,66.436,152.57,a,165.15,a,116.72,a,89.11,a,48.97,a
2019,1.99,2230.1,66.797,155.31,a,167.26,a,115.66,a,89.43,a,50.48,a
2020,2.34,2243.5,67.844,162.92,a,159.38,a,118.91,a,89.95,a,51.01,a
2021,5.12,2015.9,68.138,205.25,a,153.17,a,132.06,a,89.71,a,49.90,a
2022,-0.98,2238.8,68.414,205.39,e,157.61,a,130.64,e,94.98,e,51.23,e
